18A Test,Moto Moto,Moto Moto,Run DMC,Run DMC,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
622,12.707,18.027,12.373,18.027,12.682,18.028
1215,12.641,18.027,12.306,18.027,12.6,18.028
1788,12.591,18.027,12.257,18.027,12.55,18.028
2308,12.541,18.027,12.224,18.027,12.483,18.028
2891,12.491,18.027,12.174,18.027,12.434,18.028
3468,12.441,18.027,12.141,18.027,12.384,18.028
4055,12.408,18.027,12.108,18.027,12.334,18.028
4635,12.358,18.027,12.074,18.027,12.301,18.028
5166,12.325,18.027,12.058,18.027,12.268,18.028
5753,12.292,18.027,12.025,18.027,12.235,18.028
6331,12.275,18.027,12.008,18.027,12.201,18.028
6922,12.242,18.027,11.992,18.027,12.185,18.028
7468,12.225,18.027,11.975,18.027,12.168,18.028
8003,12.209,18.027,11.975,18.027,12.152,18.028
8555,12.192,18.027,11.958,18.027,12.135,18.028
9098,12.175,18.027,11.942,18.043,12.119,18.028
9698,12.159,18.027,12.572,0.003,12.102,18.028
10188,12.142,18.027,12.621,0.003,12.102,18.028
10730,12.142,18.027,12.638,0.02,12.085,18.028
11216,12.125,18.027,12.638,0.003,12.085,18.028
11760,12.125,18.027,12.654,0.003,12.069,18.028
12271,12.109,18.027,12.654,0.003,12.069,18.028
12755,12.109,18.027,12.671,0.003,12.069,18.028
13299,12.109,18.027,12.671,0.003,12.069,18.028
13791,12.092,18.027,12.671,0.003,12.069,18.028
14305,12.092,18.027,12.688,0.003,12.069,18.028
14813,12.092,18.027,12.688,0.003,12.069,18.028
15296,12.092,18.027,12.688,0.003,12.085,18.028
15805,12.092,18.027,12.688,0.003,12.085,18.028
16299,12.092,18.027,12.704,0.003,12.085,18.028
16843,12.092,18.027,12.704,0.003,12.102,18.028
17330,12.109,18.027,12.704,0.003,12.102,18.028
17842,12.109,18.027,12.704,0.003,12.102,18.028
18327,12.109,18.027,12.704,0.003,12.119,18.028
18840,12.109,18.027,12.721,0.003,12.119,18.028
19357,12.125,18.027,12.721,0.003,12.119,18.028
19865,12.125,18.027,12.721,0.003,12.135,18.028
20390,12.125,18.027,12.721,0.003,12.135,18.028
20868,12.125,18.027,12.721,0.003,12.135,18.028
21405,12.142,18.027,12.721,0.003,12.135,18.028
21889,12.142,18.027,12.721,0.003,12.152,18.028
22398,12.142,18.027,12.737,0.003,12.152,18.028
22875,12.142,18.027,12.737,0.003,12.152,18.028
23422,12.159,18.027,12.737,0.003,12.152,18.028
23936,12.159,18.027,12.737,0.003,12.152,18.028
24431,12.159,18.027,12.737,0.003,12.168,18.028
24938,12.159,18.027,12.737,0.003,12.168,18.028
25428,12.159,18.027,12.737,0.003,12.168,18.028
25964,12.175,18.027,12.754,0.003,12.168,18.028
