18A Test,ACDC,ACDC,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
620,13.09,18.027,12.389,18.043,12.616,18.028
1201,13.007,18.027,12.306,18.027,12.55,18.028
1740,12.94,18.027,12.257,18.043,12.483,18.028
2322,12.874,18.027,12.19,18.043,12.401,18.028
2905,12.824,18.027,12.141,18.027,12.351,18.028
3494,12.757,18.027,12.074,18.043,12.284,18.028
4082,12.707,18.027,12.041,18.027,12.235,18.028
4673,12.641,18.027,11.992,18.043,12.185,18.028
5210,12.574,18.027,11.958,18.027,12.135,18.028
5801,12.525,18.027,11.925,18.027,12.102,18.028
6422,12.475,18.027,12.588,0.003,12.069,18.028
6990,12.425,18.027,12.621,0.003,12.052,18.028
7565,12.375,18.027,12.638,0.003,12.019,18.028
8069,12.325,18.027,12.638,0.003,12.002,18.028
8641,12.292,18.027,12.654,0.003,11.986,18.028
9209,12.258,18.027,12.654,0.003,11.969,18.028
9792,12.242,18.027,12.671,0.003,11.969,18.028
10305,12.209,18.027,12.671,0.003,11.953,18.028
10852,12.192,18.027,12.671,0.003,11.936,18.028
11406,12.175,18.027,12.688,0.003,12.533,0.006
11904,12.159,18.027,12.688,0.003,12.55,0.006
12436,12.142,18.027,12.688,0.003,12.566,0.006
12922,12.125,18.027,12.688,0.003,12.583,0.006
13448,12.109,18.027,12.704,0.003,12.583,0.006
13983,12.109,18.027,12.704,0.003,12.583,0.006
14467,12.092,18.027,12.704,0.003,12.6,0.006
15012,12.092,18.027,12.704,0.003,12.6,-0.01
15489,12.076,18.027,12.704,0.003,12.616,-0.01
15976,12.076,18.027,12.721,0.003,12.616,-0.01
16513,12.059,18.027,12.721,0.003,12.616,0.006
16986,12.059,18.027,12.721,0.003,12.616,-0.01
17487,12.059,18.027,12.721,0.003,12.633,-0.01
17968,12.059,18.027,12.721,0.003,12.633,-0.01
18478,12.059,18.027,12.721,0.003,12.633,-0.01
18957,12.059,18.027,12.721,0.003,12.633,-0.01
19454,12.059,18.027,12.737,0.003,12.633,0.006
19936,12.059,18.027,12.737,0.003,12.649,-0.01
20470,12.059,18.027,12.737,0.003,12.649,0.006
20946,12.076,18.027,12.737,0.003,12.649,-0.01
21453,12.076,18.027,12.737,0.003,12.649,0.006
22001,12.076,18.027,12.737,0.003,12.649,-0.01
22489,12.092,18.027,12.737,0.003,12.666,-0.01
22988,12.092,18.027,12.737,0.003,12.666,-0.01
23455,12.092,18.027,12.754,0.003,12.666,-0.01
24003,12.092,18.027,12.754,0.003,12.666,-0.01
24498,12.109,18.027,12.754,0.003,12.666,-0.01
24995,12.109,18.027,12.754,0.003,12.682,-0.01
25501,12.109,18.027,12.754,0.003,12.682,-0.01
25993,12.109,18.027,12.754,0.003,12.682,-0.01
26526,12.109,18.027,12.754,0.003,12.682,-0.01
27011,12.125,18.027,12.754,0.003,12.682,-0.01
27521,12.125,18.027,12.754,0.003,12.682,-0.01
28023,12.125,18.027,12.754,0.003,12.682,-0.01
28494,12.125,18.027,12.754,0.003,12.699,-0.01
29000,12.125,18.027,12.77,0.003,12.699,-0.01
29471,12.125,18.027,12.77,0.003,12.699,-0.01
30009,12.125,18.027,12.77,0.003,12.699,-0.01
30494,12.142,18.027,12.77,0.003,12.699,-0.01
30987,12.142,18.027,12.77,0.003,12.699,-0.01
31463,12.142,18.027,12.77,0.003,12.699,-0.01
31964,12.142,18.027,12.77,0.003,12.716,-0.01
32444,12.142,18.027,12.77,0.003,12.716,-0.01
32960,12.142,18.027,12.77,0.003,12.716,-0.01
33443,12.142,18.027,12.77,0.003,12.716,-0.01
33965,12.142,18.027,12.77,0.003,12.716,-0.01
34440,12.142,18.027,12.787,0.003,12.716,-0.01
34932,12.142,18.027,12.787,0.003,12.716,-0.01
35448,12.142,18.027,12.787,0.003,12.732,-0.01
35962,12.159,18.027,12.787,0.003,12.732,-0.01
36453,12.159,18.027,12.787,0.003,12.732,-0.01
36928,12.159,18.027,12.787,0.003,12.732,-0.01
37436,12.159,18.027,12.787,0.003,12.732,-0.01
37926,12.159,18.027,12.787,0.003,12.732,-0.01
38422,12.159,18.027,12.787,0.003,12.732,-0.01
38914,12.159,18.027,12.787,0.003,12.732,-0.01
39428,12.159,18.027,12.787,0.003,12.732,-0.01
39904,12.159,18.027,12.787,0.003,12.749,-0.01
40410,12.159,18.027,12.787,0.003,12.749,-0.01
40892,12.159,18.027,12.787,0.003,12.749,-0.01
41404,12.159,18.027,12.787,0.003,12.749,-0.01
41887,12.159,18.027,12.787,0.003,12.749,-0.01
42394,12.159,18.027,12.803,0.003,12.749,-0.01
42878,12.159,18.027,12.803,0.003,12.749,-0.01
43388,12.159,18.027,12.803,0.003,12.749,-0.01
43867,12.159,18.027,12.803,0.003,12.749,-0.01
44404,12.175,18.027,12.803,0.003,12.749,-0.01
44905,12.175,18.027,12.803,0.003,12.765,-0.01
45388,12.175,18.027,12.803,0.003,12.765,-0.01
45896,12.175,18.027,12.803,0.003,12.765,-0.01
46368,12.175,18.027,12.803,0.003,12.765,-0.01
46864,12.175,18.027,12.803,0.003,12.765,-0.01
47344,12.175,18.027,12.803,0.003,12.765,-0.01
47851,12.175,18.027,12.803,0.003,12.765,-0.01
48324,12.175,18.027,12.803,0.003,12.765,-0.01
48839,12.175,18.027,12.803,0.003,12.765,-0.01
49312,12.175,18.027,12.803,0.003,12.765,-0.01
49830,12.175,18.027,12.803,0.003,12.782,-0.01
50312,12.175,18.027,12.803,0.003,12.782,-0.01
50813,12.175,18.027,12.82,0.003,12.782,-0.01
51288,12.175,18.027,12.82,0.003,12.782,-0.01
51794,12.175,18.027,12.82,0.003,12.782,-0.01
52271,12.175,18.027,12.82,0.003,12.782,-0.01
52781,12.175,18.027,12.82,0.003,12.782,-0.01
53257,12.175,18.027,12.82,0.003,12.782,-0.01
53761,12.175,18.027,12.82,0.003,12.782,-0.01
54279,12.175,18.027,12.82,0.003,12.782,-0.01
54783,12.175,18.027,12.82,0.003,12.782,-0.01
55264,12.175,18.027,12.82,0.003,12.782,0.006
55769,12.175,18.027,12.82,0.003,12.799,-0.01
56249,12.175,18.027,12.82,0.003,12.799,-0.01
56746,12.175,18.027,12.82,0.003,12.799,-0.01
57263,12.175,18.027,12.82,0.003,12.799,-0.01
57773,12.192,18.027,12.82,0.003,12.799,-0.01
58287,12.192,18.027,12.82,0.003,12.799,-0.01
58764,12.192,18.027,12.82,0.003,12.799,-0.01
59269,12.192,18.027,12.82,0.003,12.799,-0.01
59747,12.192,18.027,12.82,0.003,12.799,-0.01
60249,12.192,18.027,12.82,0.003,12.799,-0.01
60734,12.192,18.027,12.82,0.003,12.799,-0.01
61237,12.192,18.027,12.82,0.003,12.799,-0.01
61710,12.192,18.027,12.837,0.003,12.799,0.006
62209,12.192,18.027,12.837,0.003,12.815,-0.01
62688,12.192,18.027,12.837,0.003,12.815,-0.01
63193,12.192,18.027,12.837,0.003,12.815,-0.01
63670,12.192,18.027,12.837,0.003,12.815,-0.01
64177,12.192,18.027,12.837,0.003,12.815,-0.01
64658,12.192,18.027,12.837,0.003,12.815,-0.01
65163,12.192,18.027,12.837,0.003,12.815,-0.01
65658,12.192,18.027,12.837,0.003,12.815,-0.01
66168,12.192,18.027,12.837,0.003,12.815,-0.01
66647,12.192,18.027,12.837,0.003,12.815,-0.01
67178,12.192,18.027,12.837,0.003,12.815,-0.01
67658,12.192,18.027,12.837,0.003,12.815,-0.01
68160,12.192,18.027,12.837,0.003,12.815,-0.01
68642,12.192,18.027,12.837,0.003,12.815,0.006
69142,12.192,18.027,12.837,0.003,12.832,-0.01
69633,12.192,18.027,12.837,0.003,12.832,-0.01
70142,12.192,18.027,12.837,0.003,12.832,-0.01
70623,12.192,18.027,12.837,0.003,12.832,0.006
71130,12.192,18.027,12.837,0.003,12.832,-0.01
71617,12.192,18.027,12.837,0.003,12.832,-0.01
72125,12.192,18.027,12.837,0.003,12.832,-0.01
72614,12.192,18.027,12.837,0.003,12.832,-0.01
73112,12.192,18.027,12.853,0.003,12.832,-0.01
73608,12.192,18.027,12.853,0.003,12.832,-0.01
74109,12.192,18.027,12.853,0.003,12.832,0.006
74598,12.192,18.027,12.853,0.003,12.832,-0.01
75107,12.192,18.027,12.853,0.003,12.832,-0.01
75580,12.192,18.027,12.853,0.003,12.832,-0.01
76070,12.192,18.027,12.853,0.003,12.832,-0.01
76576,12.192,18.027,12.853,0.003,12.832,-0.01
77083,12.209,18.027,12.853,0.003,12.832,-0.01
77588,12.209,18.027,12.853,0.003,12.848,-0.01
78068,12.209,18.027,12.853,0.003,12.848,-0.01
78564,12.209,18.027,12.853,0.003,12.848,-0.01
79039,12.209,18.027,12.853,0.003,12.848,-0.01
79558,12.209,18.027,12.853,0.003,12.848,-0.01
80029,12.209,18.027,12.853,0.003,12.848,-0.01
80538,12.209,18.027,12.853,0.003,12.848,-0.01
81015,12.209,18.027,12.853,0.003,12.848,-0.01
81517,12.209,18.027,12.853,0.003,12.848,-0.01
82007,12.209,18.027,12.853,0.003,12.848,-0.01
82509,12.209,18.027,12.853,0.003,12.848,-0.01
82987,12.209,18.027,12.853,0.003,12.848,-0.01
83487,12.209,18.027,12.853,0.003,12.848,-0.01
83968,12.209,18.027,12.853,0.003,12.848,-0.01
84469,12.209,18.027,12.853,0.003,12.848,-0.01
84943,12.209,18.027,12.853,0.003,12.848,0.006
85441,12.209,18.027,12.853,0.003,12.848,-0.01
85935,12.209,18.027,12.853,0.003,12.848,-0.01
86460,12.209,18.027,12.853,0.003,12.848,-0.01
86932,12.209,18.027,12.853,0.003,12.865,-0.01
87438,12.209,18.027,12.853,0.003,12.865,-0.01
87938,12.209,18.027,12.853,0.003,12.865,-0.01
88409,12.209,18.027,12.853,0.003,12.865,-0.01
