18A Test,,,,,,
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
632,12.508,18.027,12.24,18.043,12.268,18.028
1212,12.441,18.027,12.174,18.043,12.201,18.028
1805,12.391,18.027,12.108,18.043,12.152,18.028
2397,12.358,18.027,12.058,18.043,12.102,18.028
2972,12.325,18.027,12.025,18.043,12.052,18.028
3487,12.308,18.027,11.992,18.043,11.936,18.028
4035,12.308,18.027,11.975,18.043,11.936,18.028
4558,12.292,18.027,11.958,18.043,11.919,18.028
5083,12.275,18.027,11.942,18.043,11.919,18.028
5595,12.275,18.027,11.925,18.043,11.886,18.028
6092,12.275,18.027,11.925,18.043,11.886,18.028
6633,12.275,18.027,11.909,18.043,11.87,18.028
7174,12.258,18.027,11.909,18.043,11.853,18.028
7672,12.258,18.027,11.892,18.043,11.853,18.028
8207,12.258,18.027,11.892,18.043,11.853,18.028
8711,12.258,18.027,11.892,18.043,11.837,18.028
9236,12.258,18.027,11.876,18.043,11.837,18.028
9741,12.258,18.027,11.876,18.027,11.82,18.028
10272,12.258,18.027,11.876,18.043,12.533,0.006
10834,12.258,18.027,12.555,0.02,12.566,0.006
11312,12.258,18.027,12.588,0.003,12.583,0.006
11816,12.258,18.027,12.605,0.003,12.583,0.006
12285,12.258,18.027,12.621,0.003,12.6,0.006
12790,12.258,18.027,12.638,0.02,12.6,0.006
13261,12.258,18.027,12.638,0.003,12.616,0.006
13761,12.258,18.027,12.654,0.02,12.616,-0.01
14235,12.258,18.027,12.654,0.003,12.633,-0.01
14740,12.258,18.027,12.671,0.003,12.633,0.006
15232,12.258,18.027,12.671,0.003,12.633,-0.01
15731,12.258,18.027,12.688,0.003,12.649,-0.01
16205,12.258,18.027,12.688,0.003,12.649,-0.01
16732,12.258,18.027,12.688,0.003,12.649,-0.01
17217,12.258,18.027,12.704,0.003,12.666,-0.01
17725,12.258,18.027,12.704,0.003,12.666,-0.01
18219,12.258,18.027,12.704,0.003,12.666,0.006
18689,12.258,18.027,12.721,0.003,12.682,0.006
19204,12.258,18.027,12.721,0.003,12.682,0.006
19678,12.258,18.027,12.721,0.003,12.682,-0.01
20183,12.258,18.027,12.721,0.003,12.682,-0.01
20669,12.258,18.027,12.721,0.003,12.699,-0.01
21190,12.258,18.027,12.737,0.003,12.699,-0.01
21676,12.258,18.027,12.737,0.003,12.699,-0.01
22174,12.258,18.027,12.737,0.003,12.699,-0.01
22657,12.258,18.027,12.737,0.003,12.716,-0.01
23167,12.258,18.027,12.754,0.003,12.716,-0.01
23631,12.258,18.027,12.754,0.003,12.716,-0.01
24131,12.258,18.027,12.754,0.003,12.716,-0.01
24613,12.258,18.027,12.754,0.003,12.716,-0.01
25119,12.258,18.027,12.754,0.003,12.732,-0.01
25601,12.258,18.027,12.754,0.003,12.732,-0.01
26108,12.258,18.027,12.77,0.003,12.732,-0.01
26580,12.258,18.027,12.77,0.003,12.732,-0.01
27119,12.258,18.027,12.77,0.003,12.732,-0.01
27625,12.258,18.027,12.77,0.003,12.749,-0.01
28099,12.258,18.027,12.77,0.003,12.749,-0.01
28607,12.258,18.027,12.77,0.003,12.749,-0.01
29088,12.258,18.027,12.787,0.003,12.749,-0.01
29584,12.258,18.027,12.787,0.003,12.749,-0.01
30061,12.258,18.027,12.787,0.003,12.749,-0.01
30581,12.258,18.027,12.787,0.003,12.765,-0.01
31068,12.258,18.027,12.787,0.003,12.765,-0.01
31582,12.258,18.027,12.787,0.003,12.765,-0.01
32074,12.258,18.027,12.787,0.003,12.765,-0.01
32576,12.258,18.027,12.803,0.003,12.765,-0.01
33061,12.258,18.027,12.803,0.003,12.765,-0.01
33565,12.258,18.027,12.803,0.003,12.782,-0.01
34034,12.258,18.027,12.803,0.003,12.782,-0.01
34536,12.258,18.027,12.803,0.003,12.782,-0.01
35038,12.258,18.027,12.803,0.003,12.782,-0.01
35544,12.258,18.027,12.803,0.003,12.782,-0.01
36021,12.258,18.027,12.803,0.003,12.782,-0.01
36524,12.258,18.027,12.82,0.003,12.782,-0.01
37042,12.258,18.027,12.82,0.003,12.799,-0.01
37547,12.258,18.027,12.82,0.003,12.799,-0.01
38042,12.258,18.027,12.82,0.003,12.799,-0.01
38510,12.258,18.027,12.82,0.003,12.799,-0.01
39025,12.258,18.027,12.82,0.003,12.799,-0.01
39511,12.258,18.027,12.82,0.003,12.799,-0.01
40015,12.258,18.027,12.82,0.003,12.799,-0.01
40498,12.258,18.027,12.82,0.003,12.799,-0.01
40993,12.258,18.027,12.837,0.003,12.815,-0.01
41475,12.258,18.027,12.837,0.003,12.815,-0.01
41986,12.258,18.027,12.837,0.003,12.815,-0.01
42505,12.242,18.027,12.837,0.003,12.815,-0.01
43078,12.258,18.027,12.837,0.003,12.815,-0.01
43579,12.242,18.027,12.837,0.003,12.815,-0.01
44057,12.242,18.027,12.837,0.003,12.815,-0.01
44557,12.242,18.027,12.837,0.003,12.815,-0.01
45030,12.242,18.027,12.837,0.003,12.815,-0.01
45529,12.242,18.027,12.853,0.003,12.832,0.006
46004,12.242,18.027,12.853,0.003,12.832,-0.01
46501,12.242,18.027,12.853,0.003,12.832,-0.01
46980,12.242,18.027,12.853,0.003,12.832,-0.01
47506,12.242,18.027,12.853,0.003,12.832,-0.01
47987,12.242,18.027,12.853,0.003,12.832,-0.01
48497,12.242,18.027,12.853,0.003,12.832,-0.01
48974,12.242,18.027,12.853,0.003,12.832,-0.01
49470,12.242,18.027,12.853,0.003,12.832,-0.01
49950,12.242,18.027,12.853,0.003,12.832,-0.01
50463,12.242,18.027,12.853,0.003,12.832,-0.01
50955,12.242,18.027,12.853,0.003,12.848,-0.01
51468,12.242,18.027,12.853,0.003,12.848,-0.01
51947,12.242,18.027,12.87,0.003,12.848,-0.01
52442,12.242,18.027,12.87,0.003,12.848,-0.01
52918,12.242,18.027,12.87,0.003,12.848,-0.01
53463,12.242,18.027,12.87,0.003,12.848,-0.01
53965,12.242,18.027,12.87,0.003,12.848,-0.01
54434,12.242,18.027,12.87,0.003,12.848,-0.01
54942,12.242,18.027,12.87,0.003,12.848,-0.01
55425,12.242,18.027,12.87,0.003,12.848,-0.01
55927,12.242,18.027,12.87,0.003,12.848,-0.01
56406,12.242,18.027,12.87,0.003,12.848,-0.01
56917,12.242,18.027,12.87,0.003,12.865,-0.01
57395,12.242,18.027,12.87,0.003,12.865,-0.01
57899,12.242,18.027,12.87,0.003,12.865,-0.01
58381,12.242,18.027,12.87,0.003,12.865,-0.01
58879,12.242,18.027,12.886,0.003,12.865,-0.01
59370,12.242,18.027,12.886,0.003,12.865,-0.01
59886,12.242,18.027,12.886,0.003,12.865,-0.01
60366,12.242,18.027,12.886,0.003,12.865,-0.01
60864,12.242,18.027,12.886,0.003,12.865,-0.01
61343,12.242,18.027,12.886,0.003,12.865,-0.01
61847,12.242,18.027,12.886,0.003,12.865,-0.01
62313,12.242,18.027,12.886,0.003,12.865,-0.01
62813,12.242,18.027,12.886,0.003,12.865,-0.01
63320,12.242,18.027,12.886,0.003,12.865,-0.01
