18A Test,ZZ Top,ZZ Top,Johnny Cash,Johnny Cash,Run DMC,Run DMC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
592,12.807,18.027,12.754,18.043,12.55,18.028
1176,12.757,18.027,12.688,18.043,12.467,18.028
1769,12.691,18.027,12.621,18.043,12.417,18.028
2356,12.624,18.027,12.555,18.043,12.367,18.028
2886,12.574,18.027,12.505,18.043,12.318,18.028
3465,12.508,18.027,12.456,18.043,12.284,18.028
4040,12.475,18.027,12.389,18.043,12.251,18.028
4620,12.425,18.027,12.34,18.043,12.218,18.028
5211,12.375,18.027,12.29,18.043,12.185,18.028
5742,12.342,18.027,12.257,18.043,12.152,18.028
6319,12.308,18.027,12.224,18.043,12.135,18.028
6885,12.292,18.027,12.19,18.043,12.102,18.028
7478,12.258,18.027,12.157,18.043,12.085,18.028
7962,12.242,18.027,12.141,18.043,12.069,18.028
8517,12.225,18.027,12.124,18.043,12.052,18.028
9073,12.209,18.027,12.108,18.043,12.052,18.028
9630,12.192,18.027,12.091,18.043,12.036,18.028
10153,12.192,18.027,12.074,18.043,12.019,18.028
10678,12.175,18.027,12.058,18.043,12.019,18.028
11230,12.159,18.027,12.058,18.043,12.002,18.028
11709,12.159,18.027,12.041,18.043,12.002,18.028
12266,12.159,18.027,12.041,18.043,12.002,18.028
12810,12.142,18.027,12.025,18.043,11.986,18.028
13312,12.142,18.027,12.025,18.043,11.986,18.028
13858,12.142,18.027,12.025,18.043,11.986,18.028
14380,12.125,18.027,12.025,18.043,11.986,18.028
14882,12.125,18.027,12.025,18.043,11.986,18.028
15400,12.125,18.027,12.008,18.043,11.986,18.028
15882,12.125,18.027,12.008,18.043,11.986,18.028
16405,12.125,18.027,12.025,18.043,11.986,18.028
16894,12.125,18.027,12.025,18.043,11.986,18.028
17405,12.125,18.027,12.025,18.043,11.986,18.028
17905,12.125,18.027,12.025,18.043,11.986,18.028
18464,12.142,18.027,12.025,18.043,12.002,18.028
19016,12.142,18.027,12.025,18.043,12.002,18.028
19546,12.142,18.027,12.041,18.043,12.002,18.028
20063,12.159,18.027,12.041,18.043,12.002,18.028
20588,12.159,18.027,12.041,18.043,12.019,18.028
21120,12.159,18.027,12.041,18.043,12.019,18.028
21636,12.175,18.027,12.058,18.043,12.019,18.028
22136,12.175,18.027,12.058,18.043,12.019,18.028
22697,12.175,18.027,12.058,18.043,12.019,18.028
23197,12.192,18.027,12.058,18.043,12.036,18.028
23719,12.192,18.027,12.058,18.043,12.036,18.028
24237,12.192,18.027,12.058,18.043,12.036,18.028
24772,12.192,18.027,12.074,18.043,12.036,18.028
25279,12.209,18.027,12.074,18.043,12.036,18.028
25772,12.209,18.027,12.074,18.043,12.052,18.028
26304,12.209,18.027,12.074,18.043,12.052,18.028
26825,12.209,18.027,12.074,18.043,12.052,18.028
27373,12.209,18.027,12.074,18.043,12.052,18.028
27898,12.225,18.027,12.091,18.043,12.052,18.028
28396,12.225,18.027,12.091,18.043,12.052,18.028
28903,12.225,18.027,12.091,18.043,12.052,18.028
