18A Test,Kowalski,Kowalski,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
601,12.89,18.027,12.406,18.027,12.682,18.028
1202,12.824,18.027,12.323,18.027,12.6,18.028
1784,12.757,18.027,12.257,18.027,12.533,18.028
2314,12.707,18.027,12.207,18.027,12.467,18.028
2904,12.641,18.027,12.141,18.027,12.401,18.028
3490,12.591,18.027,12.091,18.027,12.334,18.028
4084,12.541,18.027,12.041,18.027,12.284,18.028
4675,12.491,18.027,12.008,18.027,12.218,18.028
5212,12.441,18.027,11.958,18.027,12.168,18.028
5800,12.391,18.027,11.942,18.027,12.135,18.028
6368,12.342,18.027,11.909,18.027,12.085,18.028
6965,12.308,18.027,11.892,18.027,12.069,18.028
7546,12.275,18.027,11.859,18.027,12.036,18.028
8077,12.242,18.027,11.859,18.027,12.019,18.028
8656,12.209,18.027,11.842,18.027,11.986,18.028
9223,12.192,18.027,11.826,18.027,11.969,18.028
9778,12.159,18.027,11.809,18.027,11.953,18.028
10315,12.142,18.027,11.809,18.027,11.953,18.028
10881,12.125,18.027,11.809,18.027,11.936,18.028
11423,12.109,18.027,11.793,18.027,11.936,18.028
11962,12.109,18.027,11.793,18.027,11.919,18.028
12469,12.092,18.027,11.793,18.027,11.919,18.028
13045,12.076,18.027,11.793,18.027,11.903,18.028
13597,12.076,18.027,11.793,18.027,11.903,18.028
14093,12.059,18.027,11.793,18.027,11.903,18.028
14648,12.059,18.027,11.793,18.027,11.903,18.028
15173,12.042,18.027,11.793,18.027,11.903,18.028
15669,12.042,18.027,11.793,18.027,11.903,18.028
16192,12.042,18.027,11.793,18.027,11.919,18.028
16714,12.042,18.027,11.793,18.027,11.919,18.028
17250,12.026,18.027,11.793,18.027,11.919,18.028
17751,12.026,18.027,11.793,18.027,11.919,18.028
18270,12.026,18.027,11.809,18.027,11.919,18.028
18773,12.026,18.027,11.809,18.027,11.936,18.028
19293,12.026,18.027,11.809,18.027,11.936,18.028
19780,12.026,18.027,11.809,18.027,11.936,18.028
20324,12.042,18.027,11.809,18.027,11.936,18.028
20843,12.042,18.027,11.809,18.027,11.953,18.028
21341,12.042,18.027,11.826,18.027,11.953,18.028
21892,12.042,18.027,11.826,18.027,11.953,18.028
22387,12.059,18.027,11.826,18.027,11.953,18.028
22906,12.059,18.027,11.826,18.027,11.953,18.028
23410,12.059,18.027,11.826,18.027,11.953,18.028
23967,12.059,18.027,11.826,18.027,11.953,18.028
24460,12.076,18.027,11.826,18.027,11.969,18.028
24992,12.076,18.027,11.826,18.027,11.969,18.028
25553,12.076,18.027,11.826,18.027,11.969,18.028
26047,12.092,18.027,11.842,18.027,11.969,18.028
26558,12.092,18.027,11.842,18.027,11.969,18.028
27049,12.092,18.027,11.842,18.027,11.969,18.028
27592,12.092,18.027,11.842,18.027,11.969,18.028
28089,12.109,18.027,11.842,18.027,11.969,18.028
28613,12.109,18.027,11.842,18.027,11.969,18.028
29143,12.109,18.027,11.842,18.027,11.986,18.028
29636,12.109,18.027,11.842,18.027,11.986,18.028
30189,12.109,18.027,11.842,18.027,11.986,18.028
30692,12.125,18.027,11.842,18.027,11.986,18.028
31220,12.125,18.027,11.842,18.027,11.986,18.028
31720,12.125,18.027,11.842,18.027,11.986,18.028
32244,12.125,18.027,11.859,18.027,11.986,18.028
32747,12.125,18.027,11.859,18.027,11.986,18.028
33268,12.125,18.027,11.859,18.027,11.986,18.028
33773,12.125,18.027,11.859,18.027,11.986,18.028
34325,12.125,18.027,11.859,18.027,11.986,18.028
34848,12.142,18.027,11.859,18.027,11.986,18.028
35340,12.142,18.027,11.859,18.027,11.986,18.028
35866,12.142,18.027,11.859,18.027,11.986,18.028
36353,12.142,18.027,11.859,18.027,11.986,18.028
36871,12.142,18.027,11.859,18.027,11.986,18.028
37374,12.142,18.027,11.859,18.027,11.986,18.028
37906,12.142,18.027,11.859,18.027,12.002,18.028
38404,12.142,18.027,11.859,18.027,12.002,18.028
38929,12.142,18.027,11.859,18.027,12.002,18.028
39419,12.142,18.027,11.859,18.027,12.002,18.028
39951,12.142,18.027,11.859,18.027,12.002,18.028
40478,12.142,18.027,11.859,18.027,12.002,18.028
41014,12.159,18.027,11.859,18.027,12.002,18.028
41548,12.159,18.027,11.859,18.027,12.002,18.028
42039,12.159,18.027,11.859,18.027,12.002,18.028
42553,12.159,18.027,11.859,18.027,12.002,18.028
43049,12.159,18.027,11.859,18.027,12.002,18.028
43572,12.159,18.027,11.859,18.027,12.002,18.028
44064,12.159,18.027,11.876,18.027,12.002,18.028
44592,12.159,18.027,11.876,18.027,12.002,18.028
45095,12.159,18.027,11.876,18.027,12.002,18.028
45620,12.159,18.027,11.876,18.027,12.002,18.028
46120,12.159,18.027,11.876,18.027,12.002,18.028
46652,12.159,18.027,11.876,18.027,12.002,18.028
47143,12.159,18.027,11.876,18.027,12.002,18.028
47672,12.159,18.027,11.876,18.027,12.002,18.028
48162,12.159,18.027,11.876,18.027,12.002,18.028
48691,12.159,18.027,11.876,18.027,12.002,18.028
49202,12.159,18.027,11.876,18.027,12.002,18.028
49727,12.159,18.027,11.876,18.027,12.002,18.028
50227,12.159,18.027,11.876,18.027,12.019,18.028
50794,12.159,18.027,11.876,18.027,12.019,18.028
51316,12.159,18.027,11.876,18.027,12.019,18.028
51822,12.159,18.027,11.876,18.027,12.019,18.028
52346,12.159,18.027,11.876,18.027,12.019,18.028
52855,12.159,18.027,11.876,18.027,12.019,18.028
53415,12.159,18.027,11.876,18.027,12.019,18.028
53916,12.175,18.027,11.876,18.027,12.019,18.028
54432,12.175,18.027,11.876,18.027,12.019,18.028
54924,12.175,18.027,11.876,18.027,12.019,18.028
55448,12.175,18.027,11.876,18.027,12.019,18.028
55951,12.175,18.027,11.876,18.027,12.019,18.028
56486,12.175,18.027,11.876,18.027,12.019,18.028
57030,12.175,18.027,11.876,18.027,12.019,18.028
57514,12.175,18.027,11.876,18.027,12.019,18.028
58035,12.175,18.027,11.876,18.027,12.019,18.028
58512,12.175,18.027,11.876,18.027,12.019,18.028
59027,12.175,18.027,11.876,18.027,12.019,18.028
59518,12.175,18.027,11.876,18.027,12.019,18.028
60045,12.175,18.027,11.892,18.027,12.019,18.028
60543,12.175,18.027,11.892,18.027,12.019,18.028
61075,12.175,18.027,11.892,18.027,12.019,18.028
61570,12.175,18.027,11.892,18.027,12.019,18.028
62093,12.175,18.027,11.892,18.027,12.019,18.028
62591,12.175,18.027,11.892,18.027,12.019,18.028
63104,12.175,18.027,11.892,18.027,12.019,18.028
63625,12.175,18.027,11.892,18.027,12.019,18.028
64139,12.175,18.027,11.892,18.027,12.019,18.028
64652,12.175,18.027,11.892,18.027,12.019,18.028
65160,12.175,18.027,11.892,18.027,12.019,18.028
65671,12.175,18.027,11.892,18.027,12.019,18.028
