18A Test,Whitesnake,Whitesnake,Tupac,Tupac,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
597,13.09,18.027,12.721,18.027,13.031,18.028
1184,13.023,18.027,12.638,18.027,12.948,18.028
1728,12.974,18.027,12.588,18.027,12.882,18.028
2303,12.924,18.027,12.522,18.027,12.815,18.028
2891,12.874,18.027,12.456,18.027,12.749,18.028
3476,12.824,18.027,12.389,18.027,12.699,18.028
4063,12.774,18.027,12.323,18.027,12.633,18.028
4593,12.724,18.027,12.273,18.027,12.583,18.028
5185,12.674,18.027,12.224,18.027,12.517,18.028
5768,12.641,18.027,12.174,18.027,12.467,18.028
6345,12.591,18.027,12.124,18.027,12.417,18.028
6932,12.558,18.027,12.091,18.027,12.367,18.028
7516,12.525,18.027,12.074,18.027,12.334,18.028
8044,12.491,18.027,12.041,18.027,12.284,18.028
8625,12.458,18.027,12.025,18.027,12.251,18.028
9211,12.425,18.027,12.008,18.027,12.235,18.028
9797,12.391,18.027,11.992,18.027,12.201,18.028
10295,12.375,18.027,11.992,18.027,12.185,18.028
10884,12.358,18.027,11.975,18.027,12.168,18.028
11451,12.342,18.027,11.975,18.027,12.152,18.028
12020,12.325,18.027,11.958,18.027,12.135,18.028
12568,12.308,18.027,11.958,18.027,12.119,18.028
13052,12.292,18.027,11.958,18.027,12.102,18.028
13587,12.292,18.027,11.958,18.027,12.102,18.028
14066,12.275,18.027,11.942,18.027,12.085,18.028
14614,12.258,18.027,11.942,18.027,12.069,18.028
15172,12.258,18.027,11.942,18.027,12.069,18.028
15712,12.242,18.027,11.942,18.027,12.069,18.028
16204,12.242,18.027,11.942,18.027,12.069,18.028
16750,12.225,18.027,11.942,18.027,12.069,18.028
17249,12.225,18.027,11.942,18.027,12.069,18.028
17786,12.225,18.027,11.925,18.027,12.069,18.028
18306,12.209,18.027,11.925,18.027,12.085,18.028
18792,12.209,18.027,11.925,18.027,12.085,18.028
19307,12.209,18.027,11.925,18.027,12.102,18.028
19818,12.209,18.027,11.925,18.027,12.102,18.028
20374,12.192,18.027,11.925,18.027,12.102,18.028
20902,12.192,18.027,11.925,18.027,12.119,18.028
21385,12.192,18.027,11.925,18.027,12.119,18.028
21903,12.192,18.027,11.909,18.027,12.119,18.028
22402,12.192,18.027,11.909,18.027,12.135,18.028
22918,12.192,18.027,11.909,18.027,12.135,18.028
23449,12.209,18.027,11.909,18.027,12.135,18.028
23979,12.209,18.027,11.909,18.027,12.152,18.028
24483,12.209,18.027,11.892,18.027,12.152,18.028
25042,12.209,18.027,11.892,18.027,12.152,18.028
25559,12.225,18.027,11.892,18.027,12.152,18.028
26054,12.225,18.027,11.892,18.027,12.152,18.028
26608,12.225,18.027,11.892,18.027,12.168,18.028
27127,12.242,18.027,11.892,18.027,12.168,18.028
27628,12.242,18.027,11.876,18.027,12.168,18.028
28177,12.242,18.027,11.876,18.027,12.168,18.028
28672,12.258,18.027,11.876,18.027,12.168,18.028
29208,12.258,18.027,11.876,18.027,12.185,18.028
29735,12.258,18.027,11.876,18.027,12.185,18.028
30265,12.275,18.027,11.876,18.027,12.185,18.028
30790,12.275,18.027,11.859,18.027,12.185,18.028
31277,12.275,18.027,11.859,18.027,12.185,18.028
31827,12.292,18.027,11.859,18.027,12.185,18.028
32331,12.292,18.027,11.859,18.027,12.185,18.028
32857,12.292,18.027,11.859,18.027,12.185,18.028
33345,12.292,18.027,11.859,18.027,12.201,18.028
33893,12.292,18.027,11.859,18.027,12.201,18.028
34417,12.308,18.027,11.859,18.027,12.201,18.028
34903,12.308,18.027,11.859,18.027,12.201,18.028
35423,12.308,18.027,11.859,18.027,12.201,18.028
35939,12.308,18.027,11.859,18.027,12.201,18.028
36466,12.308,18.027,11.859,18.027,12.201,18.028
36962,12.308,18.027,11.859,18.027,12.201,18.028
37515,12.325,18.027,11.859,18.027,12.201,18.028
38048,12.325,18.027,11.859,18.027,12.201,18.011
38544,12.325,18.027,11.859,18.027,12.201,18.028
39059,12.325,18.027,11.859,18.027,12.201,18.028
39569,12.325,18.027,11.859,18.027,12.201,18.028
40090,12.325,18.027,11.859,18.027,12.218,18.028
40577,12.325,18.027,11.859,18.027,12.218,18.028
41089,12.325,18.027,11.859,18.027,12.218,18.028
41586,12.325,18.027,11.859,18.027,12.218,18.028
42145,12.325,18.027,11.859,18.027,12.218,18.028
42670,12.342,18.027,11.859,18.027,12.218,18.028
43161,12.342,18.027,11.859,18.027,12.218,18.028
43687,12.342,18.027,11.859,18.027,12.218,18.028
44184,12.342,18.027,11.859,18.027,12.218,18.028
44712,12.342,18.027,11.859,18.027,12.218,18.028
45205,12.342,18.027,11.859,18.027,12.218,18.028
45740,12.342,18.027,11.859,18.027,12.218,18.028
46242,12.342,18.027,11.859,18.027,12.218,18.028
46759,12.342,18.027,11.859,18.027,12.218,18.028
47261,12.342,18.027,11.859,18.027,12.218,18.028
47806,12.342,18.027,11.859,18.027,12.218,18.028
48324,12.342,18.027,11.876,18.027,12.218,18.028
48820,12.342,18.027,11.876,18.027,12.218,18.028
49340,12.342,18.027,11.876,18.027,12.218,18.028
49865,12.342,18.027,11.876,18.027,12.218,18.028
50391,12.342,18.027,11.876,18.027,12.218,18.028
50914,12.342,18.027,11.876,18.027,12.218,18.028
51439,12.358,18.027,11.876,18.027,12.218,18.028
51978,12.358,18.027,11.876,18.027,12.218,18.028
52473,12.358,18.027,11.876,18.027,12.218,18.028
53001,12.358,18.027,11.876,18.027,12.218,18.028
53491,12.358,18.027,11.876,18.027,12.235,18.028
54001,12.358,18.027,11.876,18.027,12.235,18.028
54498,12.358,18.027,11.876,18.027,12.235,18.028
55034,12.358,18.027,11.876,18.027,12.235,18.028
55535,12.358,18.027,11.876,18.027,12.235,18.028
56054,12.358,18.027,11.876,18.027,12.235,18.028
56555,12.358,18.027,11.876,18.027,12.235,18.028
57076,12.358,18.027,11.876,18.027,12.235,18.028
57581,12.358,18.027,11.876,18.027,12.235,18.028
58095,12.358,18.027,11.892,18.027,12.235,18.028
58602,12.358,18.027,11.892,18.027,12.235,18.028
59127,12.358,18.027,11.892,18.027,12.235,18.028
59635,12.358,18.027,11.892,18.027,12.235,18.028
60164,12.358,18.027,11.892,18.027,12.235,18.028
60669,12.358,18.027,11.892,18.027,12.235,18.028
61215,12.358,18.027,11.892,18.027,12.235,18.028
61753,12.358,18.027,11.892,18.027,12.235,18.028
62251,12.358,18.027,11.876,18.027,12.235,18.028
62779,12.358,18.027,11.876,18.027,12.235,18.011
63283,12.358,18.027,11.876,18.027,12.235,18.028
63819,12.358,18.027,11.876,18.027,12.235,18.028
64325,12.358,18.027,11.876,18.027,12.235,18.011
64857,12.358,18.027,11.892,18.027,12.235,18.028
65384,12.358,18.027,11.892,18.027,12.235,18.028
65888,12.358,18.027,11.892,18.027,12.235,18.028
66405,12.358,18.027,11.892,18.027,12.235,18.028
66897,12.358,18.027,11.892,18.027,12.235,18.028
67423,12.358,18.027,11.892,18.027,12.235,18.028
67936,12.358,18.027,11.892,18.027,12.235,18.028
68455,12.358,18.027,11.892,18.027,12.235,18.028
68976,12.358,18.027,11.892,18.027,12.235,18.028
69474,12.358,18.027,11.892,18.027,12.235,18.028
69999,12.358,18.027,11.892,18.027,12.235,18.028
70508,12.358,18.027,11.892,18.027,12.235,18.028
71060,12.358,18.027,11.892,18.027,12.235,18.028
71565,12.375,18.027,11.892,18.027,12.235,18.011
72084,12.375,18.027,11.892,18.027,12.235,18.011
72584,12.375,18.027,11.892,18.027,12.235,18.011
73109,12.375,18.027,11.892,18.027,12.235,18.028
73617,12.375,18.027,11.892,18.027,12.235,18.011
74130,12.375,18.027,11.892,18.027,12.235,18.028
74639,12.375,18.027,11.892,18.027,12.235,18.011
75158,12.375,18.027,11.892,18.027,12.235,18.011
75669,12.375,18.027,11.892,18.027,12.235,18.011
76193,12.375,18.027,11.892,18.027,12.235,18.011
