18A Test,P Diddy,P Diddy,E160520BC,E160520BC,170710F,170710F
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
608,12.757,18.027,12.273,18.027,12.417,18.028
1131,12.674,18.027,12.19,18.027,12.334,18.028
1706,12.608,18.027,12.124,18.027,12.268,18.028
2281,12.541,18.027,12.074,18.027,12.201,18.028
2866,12.491,18.027,12.025,18.027,12.168,18.028
3462,12.441,18.027,11.975,18.027,12.119,18.028
3994,12.391,18.027,11.942,18.027,12.085,18.028
4577,12.342,18.027,11.925,18.027,12.052,18.028
5162,12.308,18.027,11.909,18.027,12.019,18.028
5741,12.275,18.027,11.892,18.027,12.002,18.028
6233,12.242,18.027,11.876,18.027,11.986,18.028
6831,12.225,18.027,11.859,18.027,11.969,18.028
7440,12.192,18.027,11.859,18.027,11.953,18.028
7993,12.175,18.027,11.842,18.027,11.953,18.028
8552,12.159,18.027,11.842,18.027,11.936,18.028
9055,12.142,18.027,11.842,18.027,11.936,18.028
9618,12.125,18.027,11.826,18.027,11.936,18.028
10176,12.125,18.027,11.826,18.027,11.936,18.028
10676,12.109,18.027,11.826,18.027,11.936,18.028
11245,12.109,18.027,11.826,18.027,11.953,18.028
11769,12.092,18.027,11.826,18.027,11.953,18.028
12288,12.092,18.027,11.826,18.027,11.953,18.028
12829,12.076,18.027,11.826,18.027,11.953,18.028
13340,12.076,18.027,11.826,18.027,11.969,18.028
13860,12.076,18.027,11.842,18.027,11.969,18.028
14391,12.059,18.027,11.842,18.027,11.969,18.028
14911,12.059,18.027,11.842,18.027,11.986,18.028
15443,12.059,18.027,11.842,18.027,11.986,18.028
15934,12.059,18.027,11.842,18.027,11.986,18.028
16458,12.059,18.027,11.842,18.027,11.986,18.028
16952,12.059,18.027,11.842,18.027,11.986,18.028
17501,12.042,18.027,11.859,18.027,12.002,18.028
18023,12.042,18.027,11.859,18.027,12.002,18.028
18522,12.042,18.027,11.859,18.027,12.002,18.028
19063,12.042,18.027,11.859,18.027,12.002,18.028
19563,12.042,18.027,11.859,18.027,12.002,18.028
20086,12.042,18.027,11.859,18.027,12.002,18.028
20584,12.042,18.027,11.859,18.027,12.019,18.028
21104,12.042,18.027,11.859,18.027,12.019,18.028
21607,12.042,18.027,11.859,18.027,12.019,18.028
22127,12.042,18.027,11.859,18.027,12.019,18.028
22625,12.042,18.027,11.876,18.027,12.019,18.028
23141,12.042,18.027,11.876,18.027,12.019,18.028
23638,12.042,18.027,11.876,18.027,12.019,18.028
24206,12.042,18.027,11.876,18.027,12.019,18.028
24710,12.026,18.027,11.876,18.027,12.036,18.028
25223,12.026,18.027,11.876,18.027,12.036,18.028
25725,12.026,18.027,11.876,18.027,12.036,18.028
26244,12.026,18.027,11.876,18.027,12.036,18.028
26742,12.026,18.027,11.876,18.027,12.036,18.028
27269,12.026,18.027,11.876,18.027,12.036,18.028
27774,12.026,18.027,11.876,18.027,12.036,18.011
28298,12.026,18.027,11.876,18.027,12.036,18.028
28842,12.026,18.027,11.892,18.027,12.036,18.028
29344,12.026,18.027,11.892,18.027,12.036,18.028
29851,12.026,18.027,11.892,18.027,12.036,18.028
30345,12.026,18.027,11.892,18.027,12.036,18.028
30873,12.026,18.027,11.892,18.027,12.036,18.011
31382,12.026,18.027,11.892,18.027,12.036,18.028
31908,12.026,18.027,11.892,18.027,12.052,18.028
32407,12.026,18.027,11.892,18.027,12.052,18.028
32950,12.042,18.027,11.892,18.027,12.052,18.028
33445,12.042,18.027,11.892,18.027,12.052,18.011
33979,12.042,18.027,11.892,18.027,12.052,18.028
34482,12.042,18.027,11.892,18.027,12.052,18.028
35019,12.042,18.027,11.892,18.027,12.052,18.011
35521,12.042,18.027,11.892,18.027,12.052,18.028
36060,12.042,18.027,11.892,18.027,12.052,18.028
36562,12.042,18.027,11.892,18.027,12.052,18.028
37088,12.042,18.027,11.892,18.027,12.052,18.028
37612,12.042,18.027,11.892,18.027,12.052,18.028
38110,12.042,18.027,11.892,18.027,12.052,18.011
38621,12.042,18.027,11.892,18.027,12.052,18.028
39110,12.042,18.027,11.909,18.027,12.052,18.028
39640,12.042,18.027,11.909,18.027,12.052,18.028
40131,12.042,18.027,11.909,18.027,12.052,18.028
40653,12.042,18.027,11.909,18.027,12.052,18.028
