18A Test,ACDC,ACDC,,,Kanye West,Kanye West
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
577,12.974,18.027,-0.005,0.003,12.301,18.028
1202,12.907,18.027,-0.138,0.003,12.218,18.028
1707,12.857,18.027,-0.138,0.003,12.152,18.028
2297,12.824,18.027,-0.138,0.003,12.085,18.028
2856,12.774,18.027,-0.138,0.003,12.052,18.028
3369,12.741,18.027,-0.138,0.003,12.002,18.028
3933,12.707,18.027,-0.138,0.003,11.969,18.028
4500,12.674,18.027,-0.138,0.003,11.953,18.028
5043,12.658,18.027,-0.138,0.003,11.919,18.028
5553,12.641,18.027,-0.138,0.003,11.903,18.028
6095,12.624,18.027,-0.138,0.003,11.886,18.028
6615,12.608,18.027,-0.138,0.003,11.87,18.028
7124,12.591,18.027,-0.138,0.003,11.87,18.028
7658,12.574,18.027,-0.138,0.003,11.853,18.028
8135,12.574,18.027,-0.138,0.003,11.853,18.028
8676,12.574,18.027,-0.138,0.003,11.853,18.028
9182,12.558,18.027,-0.138,0.003,11.837,18.028
9648,12.558,18.027,-0.138,0.003,11.837,18.028
10183,12.558,18.027,-0.138,0.003,11.837,18.028
10662,12.541,18.027,-0.138,0.003,11.837,18.028
11167,12.541,18.027,-0.138,0.003,11.837,18.028
11649,12.541,18.027,-0.138,0.003,11.837,18.028
12148,12.541,18.027,-0.138,0.003,11.837,18.028
12626,12.541,18.027,-0.138,0.003,11.837,18.028
13131,12.541,18.027,-0.138,0.003,11.837,18.028
13653,12.541,18.027,-0.138,0.003,11.837,18.028
14158,12.525,18.027,-0.138,0.003,11.837,18.028
14685,12.525,18.027,-0.138,0.003,11.837,18.028
15161,12.525,18.027,-0.138,0.003,11.837,18.028
15664,12.525,18.027,-0.138,0.003,11.837,18.028
16148,12.525,18.027,-0.138,0.003,11.837,18.028
16651,12.525,18.027,-0.138,0.003,11.837,18.028
17132,12.525,18.027,-0.138,0.003,11.837,18.028
17632,12.525,18.027,-0.138,0.003,11.837,18.028
18110,12.525,18.027,-0.138,0.003,11.853,18.028
18630,12.525,18.027,-0.138,0.003,11.853,18.028
19108,12.525,18.027,-0.138,0.003,11.853,18.028
19613,12.525,18.027,-0.138,0.003,11.853,18.028
20090,12.525,18.027,-0.138,0.003,11.853,18.028
20595,12.525,18.027,-0.138,0.003,11.853,18.028
21079,12.525,18.027,-0.138,0.003,11.853,18.028
21599,12.525,18.027,-0.138,0.003,11.853,18.028
22074,12.525,18.027,-0.138,0.003,11.853,18.028
22589,12.525,18.027,-0.138,0.003,11.87,18.028
23075,12.525,18.027,-0.138,0.003,11.87,18.028
23612,12.525,18.027,-0.138,0.003,11.87,18.028
24080,12.525,18.027,-0.138,0.003,11.87,18.028
24585,12.525,18.027,-0.138,0.003,11.87,18.028
25052,12.525,18.027,-0.138,0.003,11.87,18.028
25569,12.525,18.027,-0.138,0.003,11.87,18.028
26055,12.525,18.027,-0.138,0.003,11.87,18.028
26584,12.525,18.027,-0.138,0.003,11.87,18.028
27075,12.525,18.027,-0.138,0.003,11.87,18.028
27594,12.525,18.027,-0.138,0.003,11.87,18.028
