18A Test,Led Zeppelin,Led Zeppelin,Johnny Cash,Johnny Cash,Fresh Prince,Fresh Prince
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
585,12.924,18.027,12.87,18.027,12.699,18.028
1161,12.874,18.027,12.82,18.027,12.633,18.028
1752,12.824,18.027,12.754,18.043,12.583,18.028
2288,12.774,18.027,12.721,18.027,12.55,18.028
2869,12.741,18.027,12.671,18.043,12.5,18.028
3449,12.707,18.027,12.638,18.043,12.467,18.028
4049,12.674,18.027,12.605,18.027,12.45,18.028
4597,12.658,18.027,12.588,18.027,12.417,18.028
5130,12.641,18.027,12.572,18.043,12.401,18.028
5698,12.624,18.027,12.538,18.043,12.384,18.028
6248,12.608,18.027,12.522,18.027,12.384,18.028
6755,12.591,18.027,12.522,18.043,12.367,18.028
7282,12.591,18.027,12.505,18.043,12.367,18.028
7817,12.574,18.027,12.489,18.027,12.351,18.028
8333,12.574,18.027,12.489,18.043,12.351,18.028
8860,12.574,18.027,12.489,18.027,12.351,18.028
9383,12.574,18.027,12.472,18.043,12.351,18.028
9905,12.558,18.027,12.472,18.027,12.334,18.028
10410,12.558,18.027,12.472,18.043,12.334,18.028
10935,12.558,18.027,12.456,18.043,12.334,18.028
11426,12.558,18.027,12.456,18.027,12.334,18.028
11958,12.558,18.027,12.456,18.043,12.334,18.028
12476,12.558,18.027,12.456,18.043,12.334,18.028
12995,12.558,18.027,12.456,18.043,12.334,18.028
13486,12.558,18.027,12.456,18.043,12.334,18.028
14004,12.558,18.027,12.456,18.043,12.334,18.028
14517,12.558,18.027,12.456,18.027,12.334,18.028
15032,12.558,18.027,12.439,18.043,12.334,18.028
15532,12.558,18.027,12.439,18.027,12.334,18.028
16070,12.558,18.027,12.439,18.027,12.334,18.028
16599,12.558,18.027,12.439,18.043,12.334,18.028
17129,12.558,18.027,12.439,18.043,12.334,18.028
17656,12.541,18.027,12.439,18.027,12.334,18.028
18144,12.541,18.027,12.439,18.043,12.334,18.028
18665,12.541,18.027,12.439,18.043,12.334,18.028
19169,12.541,18.027,12.439,18.043,12.334,18.028
19687,12.541,18.027,12.439,18.027,12.334,18.028
20228,12.541,18.027,12.439,18.027,12.334,18.028
20725,12.541,18.027,12.439,18.027,12.334,18.028
21255,12.541,18.027,12.439,18.043,12.334,18.028
21753,12.541,18.027,12.439,18.043,12.334,18.028
22272,12.541,18.027,12.422,18.027,12.334,18.028
22764,12.541,18.027,12.422,18.027,12.334,18.028
23294,12.541,18.027,12.422,18.027,12.334,18.028
23795,12.541,18.027,12.422,18.027,12.334,18.028
24329,12.541,18.027,12.422,18.027,12.318,18.028
24843,12.541,18.027,12.422,18.043,12.334,18.028
25346,12.541,18.027,12.422,18.027,12.334,18.028
25843,12.541,18.027,12.422,18.027,12.318,18.028
26370,12.541,18.027,12.422,18.027,12.318,18.028
