18A Test,Ed Sheeran,Ed Sheeran,Tesseract,Tesseract,BLUE-04284-HA,BLUE-04284-HA
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
585,12.874,18.027,12.737,18.027,12.301,18.028
1121,12.824,18.027,12.688,18.027,12.185,18.028
1716,12.774,18.027,12.638,18.027,12.119,18.028
2300,12.724,18.027,12.588,18.027,12.085,18.028
2888,12.674,18.027,12.555,18.027,12.069,18.028
3480,12.641,18.027,12.505,18.027,12.052,18.028
3985,12.608,18.027,12.472,18.027,12.036,18.028
4561,12.591,18.027,12.439,18.027,12.036,18.028
5118,12.574,18.027,12.422,18.027,12.036,18.028
5648,12.558,18.027,12.406,18.027,12.019,18.028
6168,12.541,18.027,12.373,18.027,12.019,18.028
6715,12.525,18.027,12.356,18.027,12.019,18.028
7207,12.525,18.027,12.356,18.027,12.019,18.028
7763,12.525,18.027,12.34,18.027,12.002,18.028
8291,12.508,18.027,12.323,18.027,12.002,18.028
8792,12.508,18.027,12.323,18.027,12.002,18.028
9307,12.508,18.027,12.306,18.027,12.002,18.028
9838,12.508,18.027,12.306,18.027,12.002,18.028
10357,12.491,18.027,12.306,18.027,12.002,18.028
10853,12.491,18.027,12.29,18.027,12.002,18.028
11371,12.491,18.027,12.29,18.027,11.986,18.028
11860,12.491,18.027,12.29,18.027,11.986,18.028
12383,12.491,18.027,12.29,18.027,11.986,18.028
12870,12.491,18.027,12.29,18.027,11.986,18.028
13392,12.491,18.027,12.29,18.027,11.986,18.028
13894,12.491,18.027,12.273,18.027,11.986,18.028
14407,12.491,18.027,12.273,18.027,11.986,18.028
14912,12.491,18.027,12.273,18.027,11.986,18.028
15426,12.491,18.027,12.273,18.027,11.986,18.028
15921,12.491,18.027,12.273,18.027,11.969,18.028
16449,12.491,18.027,12.273,18.027,11.969,18.028
16936,12.491,18.027,12.273,18.027,11.969,18.028
17470,12.491,18.027,12.273,18.027,11.969,18.028
17970,12.491,18.027,12.273,18.027,11.969,18.028
18493,12.491,18.027,12.273,18.027,11.969,18.028
19004,12.491,18.027,12.273,18.027,11.969,18.028
19529,12.491,18.027,12.273,18.027,11.969,18.028
20086,12.491,18.027,12.273,18.027,11.969,18.028
20591,12.491,18.027,12.273,18.027,11.969,18.028
21102,12.491,18.027,12.273,18.027,11.953,18.028
21609,12.491,18.027,12.273,18.027,11.953,18.028
22139,12.491,18.027,12.273,18.027,11.953,18.028
22661,12.491,18.027,12.273,18.027,11.953,18.028
