18A Test,Pink Floyd,Pink Floyd,BLUE-04284-HA-A,BLUE-04284-HA-A,BLACK-E130716RC,BLACK-E130716RC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
627,12.624,18.027,12.174,18.043,12.069,18.028
1213,12.558,18.027,12.091,18.043,11.986,18.028
1744,12.491,18.027,12.025,18.043,11.919,18.028
2322,12.441,18.027,11.975,18.043,11.87,18.028
2901,12.408,18.027,11.925,18.043,11.82,18.028
3473,12.375,18.027,11.892,18.043,11.787,18.028
4053,12.342,18.027,11.876,18.043,11.754,18.028
4569,12.325,18.027,11.859,18.043,11.737,18.028
5139,12.308,18.027,11.842,18.043,11.72,18.028
5708,12.292,18.027,11.826,18.043,11.72,18.028
6210,12.275,18.027,11.826,18.043,11.704,18.028
6731,12.275,18.027,11.826,18.043,11.704,18.028
7258,12.258,18.027,11.826,18.043,11.687,18.028
7780,12.258,18.027,11.826,18.043,11.687,18.028
8306,12.258,18.027,11.809,18.043,11.687,18.028
8807,12.258,18.027,11.809,18.043,11.687,18.028
9365,12.242,18.027,11.809,18.043,11.687,18.028
9858,12.242,18.027,11.809,18.043,11.671,18.028
10369,12.242,18.027,11.809,18.043,11.671,18.028
10964,12.242,18.027,11.809,18.043,12.5,0.006
11535,12.242,18.027,11.809,18.043,12.533,0.006
12051,12.242,18.027,11.809,18.043,12.55,0.006
12583,12.242,18.027,11.809,18.043,12.566,0.006
13128,12.242,18.027,11.809,18.043,12.583,0.006
13639,12.242,18.027,11.809,18.043,12.6,0.006
14181,12.242,18.027,11.809,18.043,12.616,0.006
14716,12.242,18.027,11.809,18.043,12.616,0.006
15245,12.242,18.027,11.809,18.043,12.633,0.006
15811,12.242,18.027,11.809,18.043,12.649,0.006
16388,12.242,18.027,11.809,18.043,12.649,-0.01
16962,12.242,18.027,11.809,18.043,12.666,0.006
17529,12.242,18.027,11.809,18.043,12.666,-0.01
18040,12.242,18.027,11.809,18.043,12.682,0.006
18615,12.242,18.027,11.809,18.043,12.682,-0.01
19188,12.242,18.027,11.809,18.043,12.699,-0.01
19747,12.242,18.027,11.809,18.043,12.699,-0.01
20267,12.242,18.027,11.809,18.043,12.716,0.006
20811,12.242,18.027,11.809,18.043,12.716,-0.01
21366,12.242,18.027,11.809,18.043,12.716,-0.01
21937,12.242,18.027,11.809,18.043,12.732,-0.01
22450,12.242,18.027,11.809,18.043,12.732,-0.01
22959,12.242,18.027,11.809,18.043,12.732,-0.01
23476,12.242,18.027,11.809,18.043,12.749,-0.01
23985,12.242,18.027,11.809,18.043,12.749,-0.01
24498,12.242,18.027,11.809,18.043,12.749,0.006
24992,12.242,18.027,11.809,18.043,12.749,-0.01
25527,12.242,18.027,11.809,18.043,12.765,-0.01
26012,12.242,18.027,11.809,18.043,12.765,-0.01
26516,12.242,18.027,11.809,18.043,12.765,-0.01
26998,12.242,18.027,11.809,18.043,12.765,-0.01
27532,12.242,18.027,11.809,18.043,12.782,-0.01
28027,12.242,18.027,11.809,18.043,12.782,-0.01
28541,12.242,18.027,11.809,18.043,12.782,-0.01
29066,12.242,18.027,11.809,18.043,12.782,-0.01
29564,12.242,18.027,11.809,18.043,12.782,-0.01
30067,12.242,18.027,11.809,18.043,12.782,-0.01
30581,12.258,18.027,11.809,18.043,12.799,-0.01
31097,12.258,18.027,11.809,18.043,12.799,-0.01
31577,12.258,18.027,11.809,18.043,12.799,-0.01
32091,12.258,18.027,11.809,18.043,12.799,-0.01
32590,12.258,18.027,11.809,18.027,12.799,-0.01
33112,12.258,18.027,11.809,18.043,12.799,-0.01
33604,12.258,18.027,11.809,18.043,12.815,-0.01
34146,12.258,18.027,11.809,18.043,12.815,-0.01
34654,12.258,18.027,11.809,18.043,12.815,-0.01
35148,12.258,18.027,11.809,18.043,12.815,-0.01
35659,12.258,18.027,11.809,18.043,12.815,-0.01
36145,12.258,18.027,11.809,18.043,12.815,-0.01
36656,12.258,18.027,11.809,18.043,12.815,-0.01
37154,12.258,18.027,11.809,18.043,12.815,-0.01
37695,12.258,18.027,11.809,18.043,12.832,-0.01
38203,12.258,18.027,11.809,18.043,12.832,-0.01
38709,12.258,18.027,11.809,18.043,12.832,-0.01
39193,12.258,18.027,11.809,18.043,12.832,-0.01
39717,12.258,18.027,11.793,18.043,12.832,-0.01
40200,12.258,18.027,11.793,18.043,12.832,-0.01
40710,12.258,18.027,11.793,18.043,12.832,-0.01
41202,12.258,18.027,11.793,18.027,12.832,-0.01
41715,12.258,18.027,11.793,18.043,12.832,-0.01
42207,12.258,18.027,11.793,18.043,12.832,-0.01
42742,12.258,18.027,11.793,18.027,12.848,-0.01
43225,12.258,18.027,11.793,18.043,12.848,-0.01
43742,12.258,18.027,11.793,18.027,12.848,-0.01
44255,12.258,18.027,11.793,18.043,12.848,-0.01
44745,12.258,18.027,11.793,18.043,12.848,-0.01
45260,12.258,18.027,11.793,18.043,12.848,-0.01
45756,12.258,18.027,11.793,18.043,12.848,-0.01
46273,12.258,18.027,11.793,18.043,12.848,-0.01
46758,12.258,18.027,11.793,18.043,12.848,-0.01
47278,12.258,18.027,11.793,18.043,12.848,-0.01
47758,12.258,18.027,11.793,18.043,12.848,-0.01
48265,12.258,18.027,11.793,18.043,12.848,-0.01
48752,12.258,18.027,11.793,18.043,12.865,-0.01
49295,12.258,18.027,11.793,18.043,12.865,-0.01
49779,12.258,18.027,11.793,18.043,12.865,-0.01
50284,12.258,18.027,11.793,18.043,12.865,-0.01
50766,12.258,18.027,11.793,18.043,12.865,-0.01
51270,12.258,18.027,11.793,18.043,12.865,-0.01
51753,12.258,18.027,11.793,18.043,12.865,-0.01
52260,12.258,18.027,11.776,18.043,12.865,0.006
52747,12.258,18.027,11.776,18.043,12.865,-0.01
53261,12.258,18.027,11.776,18.043,12.865,-0.01
53751,12.258,18.027,11.776,18.043,12.865,-0.01
54256,12.258,18.027,11.776,18.043,12.865,-0.01
54737,12.258,18.027,11.776,18.043,12.865,-0.01
55257,12.258,18.027,11.776,18.043,12.865,-0.01
55744,12.258,18.027,11.776,18.043,12.865,-0.01
56251,12.258,18.027,11.776,18.043,12.865,-0.01
56774,12.258,18.027,11.776,18.043,12.882,-0.01
57312,12.258,18.027,11.776,18.043,12.882,-0.01
57829,12.258,18.027,11.776,18.043,12.882,-0.01
58318,12.258,18.027,11.776,18.043,12.882,-0.01
58862,12.258,18.027,11.776,18.043,12.882,-0.01
59368,12.258,18.027,11.776,18.043,12.882,-0.01
59866,12.258,18.027,11.776,18.043,12.882,-0.01
60357,12.258,18.027,11.776,18.027,12.882,-0.01
60858,12.258,18.027,11.776,18.043,12.882,-0.01
61348,12.258,18.027,11.776,18.027,12.882,-0.01
61861,12.258,18.027,11.776,18.043,12.882,-0.01
62349,12.258,18.027,11.76,18.027,12.882,-0.01
62854,12.258,18.027,11.76,18.043,12.882,-0.01
63368,12.258,18.027,11.76,18.027,12.882,-0.01
63913,12.258,18.027,11.76,18.043,12.882,-0.01
64426,12.258,18.027,11.76,18.043,12.882,-0.01
64918,12.258,18.027,11.76,18.043,12.882,-0.01
65423,12.258,18.027,11.76,18.043,12.882,-0.01
65914,12.258,18.027,11.76,18.043,12.882,-0.01
66449,12.258,18.027,11.76,18.043,12.898,-0.01
66936,12.258,18.027,11.76,18.043,12.898,-0.01
67496,12.258,18.027,11.76,18.043,12.898,-0.01
68011,12.258,18.027,11.76,18.043,12.898,-0.01
68492,12.258,18.027,11.76,18.043,12.898,-0.01
69009,12.258,18.027,11.76,18.043,12.898,-0.01
69509,12.258,18.027,11.76,18.043,12.898,-0.01
70020,12.258,18.027,11.76,18.043,12.898,-0.01
70505,12.258,18.027,11.76,18.043,12.898,-0.01
71012,12.258,18.027,11.76,18.043,12.898,-0.01
71492,12.258,18.027,11.76,18.043,12.898,-0.01
71994,12.258,18.027,11.76,18.027,12.898,-0.01
72488,12.258,18.027,11.76,18.043,12.898,-0.01
73005,12.258,18.027,11.76,18.043,12.898,-0.01
73486,12.258,18.027,11.76,18.027,12.898,-0.01
73997,12.258,18.027,11.76,18.043,12.898,0.006
74496,12.258,18.027,11.76,18.043,12.898,-0.01
74999,12.258,18.027,11.76,18.043,12.898,-0.01
75484,12.258,18.027,11.76,18.043,12.898,-0.01
76056,12.258,18.027,11.76,18.043,12.898,-0.01
76571,12.258,18.027,11.76,18.043,12.898,-0.01
77077,12.258,18.027,11.76,18.027,12.898,-0.01
77587,12.258,18.027,11.743,18.027,12.898,0.006
78072,12.258,18.027,11.743,18.043,12.898,-0.01
78586,12.258,18.027,11.743,18.027,12.898,-0.01
79091,12.258,18.027,11.743,18.043,12.915,-0.01
79614,12.258,18.027,11.743,18.027,12.915,-0.01
80098,12.258,18.027,11.743,18.043,12.915,-0.01
80647,12.258,18.027,12.422,0.003,12.915,-0.01
81154,12.258,18.027,12.472,0.003,12.915,-0.01
81620,12.258,18.027,12.489,0.003,12.915,0.006
82188,12.258,18.027,12.522,0.003,12.915,-0.01
82665,12.258,18.027,12.522,0.003,12.915,-0.01
83161,12.258,18.027,12.538,0.003,12.915,-0.01
83643,12.258,18.027,12.555,0.003,12.915,-0.01
84156,12.258,18.027,12.572,0.003,12.915,-0.01
84638,12.258,18.027,12.572,0.003,12.915,-0.01
85208,12.258,18.027,12.588,0.003,12.915,-0.01
85705,12.258,18.027,12.588,0.003,12.915,-0.01
86175,12.258,18.027,12.605,0.003,12.915,-0.01
