18A Test,Moto Moto,Moto Moto,BLUE-07064-HA-3,BLUE-07064-HA-3,BLUE-07064-HA-4,BLUE-07064-HA-4
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
528,12.874,18.027,12.074,18.027,0.01,0.006
1140,12.807,18.027,11.958,18.027,6.728,0.006
1719,12.757,18.027,11.892,18.027,6.827,-0.01
2297,12.707,18.027,11.826,18.027,6.86,-0.01
2836,12.658,18.027,11.793,18.027,6.877,-0.01
3344,12.608,18.027,11.76,18.027,6.894,-0.01
3878,12.574,18.027,11.726,18.027,6.91,-0.01
4360,12.541,18.027,11.71,18.027,6.91,-0.01
4865,12.508,18.027,11.693,18.027,6.91,-0.01
5417,12.475,18.027,11.677,18.027,6.927,-0.01
5927,12.441,18.027,11.677,18.027,6.927,-0.01
6461,12.408,18.027,11.66,18.027,6.927,-0.01
6969,12.391,18.027,11.644,18.027,6.927,-0.01
7486,12.358,18.027,11.644,18.027,6.927,-0.01
8062,12.342,18.027,11.627,18.027,6.927,-0.01
8623,12.325,18.027,11.627,18.027,6.927,0.006
9186,12.308,18.027,11.61,18.027,6.927,-0.01
9749,12.292,18.027,12.389,0.02,6.927,0.006
10248,12.275,18.027,12.439,0.02,6.927,-0.01
10742,12.275,18.027,12.472,0.003,6.927,0.006
11250,12.258,18.027,12.489,0.02,6.927,-0.01
11821,12.258,18.027,12.505,0.003,6.927,-0.01
12297,12.242,18.027,12.522,0.003,6.927,-0.01
12788,12.242,18.027,12.538,0.003,6.927,-0.01
13323,12.225,18.027,12.555,0.003,6.927,-0.01
13820,12.225,18.027,12.555,0.003,6.927,-0.01
14341,12.225,18.027,12.572,0.003,6.927,-0.01
14831,12.209,18.027,12.572,0.003,6.91,-0.01
15355,12.209,18.027,12.588,0.003,6.927,0.006
15909,12.209,18.027,12.588,0.003,6.91,-0.01
16418,12.209,18.027,12.588,0.003,6.91,-0.01
16950,12.209,18.027,12.605,0.003,6.927,-0.01
17478,12.209,18.027,12.605,0.003,6.91,0.006
17976,12.209,18.027,12.605,0.003,6.91,-0.01
18477,12.209,18.027,12.621,0.003,6.91,-0.01
18954,12.209,18.027,12.621,0.003,6.91,-0.01
19450,12.209,18.027,12.621,0.003,6.91,-0.01
19923,12.209,18.027,12.621,0.003,6.91,0.006
20421,12.209,18.027,12.621,0.003,6.91,-0.01
20889,12.209,18.027,12.638,0.003,6.91,0.006
21389,12.209,18.027,12.638,0.003,6.91,-0.01
21854,12.225,18.027,12.638,0.003,6.91,0.006
22349,12.225,18.027,12.638,0.003,6.91,-0.01
22826,12.225,18.027,12.638,0.003,6.91,0.006
23332,12.225,18.027,12.654,0.003,6.91,-0.01
23811,12.225,18.027,12.654,0.003,6.91,-0.01
24340,12.225,18.027,12.654,0.003,6.91,0.006
24907,12.242,18.027,12.654,0.003,6.91,-0.01
25418,12.242,18.027,12.654,0.003,6.91,0.006
25933,12.242,18.027,12.654,0.003,6.894,-0.01
26412,12.242,18.027,12.654,0.003,6.91,-0.01
26889,12.242,18.027,12.671,0.003,6.894,-0.01
27392,12.242,18.027,12.671,0.003,6.894,-0.01
27938,12.242,18.027,12.671,0.003,6.91,0.006
28441,12.258,18.027,12.671,0.003,6.894,-0.01
28942,12.258,18.027,12.671,0.003,6.894,-0.01
29476,12.258,18.027,12.671,0.003,6.894,-0.01
29952,12.258,18.027,12.671,0.003,6.894,-0.01
30439,12.258,18.027,12.671,0.003,6.894,-0.01
30924,12.258,18.027,12.671,0.003,6.894,-0.01
31422,12.258,18.027,12.688,0.003,6.894,0.006
31904,12.258,18.027,12.688,0.003,6.894,-0.01
32402,12.275,18.027,12.688,0.003,6.894,-0.01
32904,12.275,18.027,12.688,0.003,6.894,-0.01
33444,12.275,18.027,12.688,0.003,6.894,0.006
33904,12.275,18.027,12.688,0.003,6.894,-0.01
34424,12.275,18.027,12.688,0.003,6.877,-0.01
34926,12.275,18.027,12.688,0.003,6.877,0.006
35386,12.275,18.027,12.688,0.003,6.877,0.006
35875,12.275,18.027,12.688,0.003,6.877,-0.01
36346,12.275,18.027,12.688,0.003,6.877,-0.01
36836,12.275,18.027,12.688,0.003,6.877,0.006
37320,12.292,18.027,12.704,0.003,6.877,-0.01
37819,12.292,18.027,12.704,0.003,6.877,-0.01
38291,12.292,18.027,12.704,0.003,6.877,-0.01
38852,12.292,18.027,12.704,0.003,6.877,-0.01
39356,12.292,18.027,12.704,0.003,6.877,-0.01
39898,12.292,18.027,12.704,0.003,6.877,-0.01
40404,12.292,18.027,12.704,0.003,6.877,-0.01
40943,12.292,18.027,12.704,0.003,6.877,0.006
41451,12.292,18.027,12.704,0.003,6.877,-0.01
41935,12.292,18.027,12.704,0.003,6.86,0.006
42459,12.292,18.027,12.704,0.003,6.86,-0.01
42922,12.292,18.027,12.704,0.003,6.86,0.006
43457,12.292,18.027,12.704,0.003,6.86,-0.01
43990,12.292,18.027,12.704,0.003,6.86,-0.01
44455,12.292,18.027,12.704,0.003,6.86,-0.01
44961,12.292,18.027,12.721,0.003,6.86,-0.01
45436,12.292,18.027,12.721,0.003,6.86,-0.01
45921,12.308,18.027,12.721,0.003,6.86,-0.01
46398,12.308,18.027,12.721,0.003,6.86,-0.01
46889,12.308,18.027,12.721,0.003,6.86,-0.01
47373,12.308,18.027,12.721,0.003,6.86,0.006
47929,12.308,18.027,12.721,0.003,6.844,0.006
48416,12.308,18.027,12.721,0.003,6.86,0.006
48889,12.308,18.027,12.721,0.003,6.86,-0.01
49431,12.308,18.027,12.721,0.003,6.86,-0.01
49930,12.308,18.027,12.721,0.003,6.844,-0.01
50463,12.308,18.027,12.721,0.003,6.844,-0.01
51017,12.308,18.027,12.721,0.003,6.86,-0.01
51491,12.308,18.027,12.721,0.003,6.844,-0.01
52034,12.308,18.027,12.721,0.003,6.86,-0.01
52585,12.308,18.027,12.721,0.003,6.86,0.006
53061,12.308,18.027,12.721,0.003,6.844,-0.01
53570,12.308,18.027,12.721,0.003,6.844,-0.01
54043,12.308,18.027,12.721,0.003,6.844,-0.01
54553,12.308,18.027,12.721,0.003,6.844,-0.01
55021,12.308,18.027,12.721,0.003,6.844,0.006
55525,12.308,18.027,12.721,0.003,6.844,-0.01
55998,12.308,18.027,12.721,0.003,6.844,0.006
56483,12.308,18.027,12.721,0.003,6.844,0.006
56981,12.308,18.027,12.721,0.003,6.844,-0.01
57516,12.308,18.027,12.721,0.003,6.844,0.006
58016,12.308,18.027,12.721,0.003,6.844,-0.01
58480,12.308,18.027,12.721,0.003,6.844,0.006
59028,12.308,18.027,12.737,0.003,6.844,-0.01
59507,12.308,18.027,12.737,0.003,6.844,-0.01
60055,12.308,18.027,12.737,0.003,6.844,-0.01
60573,12.308,18.027,12.737,0.003,6.844,-0.01
61074,12.308,18.027,12.737,0.003,6.844,-0.01
61634,12.308,18.027,12.737,0.003,6.844,0.006
62186,12.308,18.027,12.737,0.003,6.844,0.006
62689,12.325,18.027,12.737,0.003,6.844,-0.01
63201,12.325,18.027,12.737,0.003,6.844,-0.01
63705,12.325,18.027,12.737,0.003,6.844,-0.01
64231,12.325,18.027,12.737,0.003,6.844,-0.01
64723,12.325,18.027,12.737,0.003,6.844,-0.01
65192,12.325,18.027,12.737,0.003,6.844,-0.01
65726,12.325,18.027,12.737,0.003,6.844,-0.01
66210,12.325,18.027,12.737,0.003,6.844,-0.01
66741,12.325,18.027,12.737,0.003,6.844,-0.01
67301,12.325,18.027,12.737,0.003,6.844,-0.01
67804,12.325,18.027,12.737,0.003,6.844,-0.01
68353,12.325,18.027,12.737,0.003,6.827,-0.01
68869,12.325,18.027,12.737,0.003,6.844,-0.01
69348,12.325,18.027,12.737,0.003,6.844,-0.01
69839,12.325,18.027,12.737,0.003,6.844,-0.01
70317,12.325,18.027,12.737,0.003,6.844,-0.01
70835,12.325,18.027,12.737,0.003,6.827,0.006
71336,12.325,18.027,12.737,0.003,6.844,-0.01
71893,12.325,18.027,12.737,0.003,6.827,-0.01
72389,12.325,18.027,12.737,0.003,6.827,-0.01
72889,12.325,18.027,12.737,0.003,6.827,0.006
73422,12.325,18.027,12.737,0.003,6.844,-0.01
73920,12.325,18.027,12.737,0.003,6.844,0.006
74442,12.325,18.027,12.737,0.003,6.844,0.006
74910,12.325,18.027,12.737,0.003,6.827,0.006
75408,12.325,18.027,12.737,0.003,6.827,-0.01
75902,12.325,18.027,12.737,0.003,6.827,-0.01
76393,12.325,18.027,12.737,0.003,6.827,-0.01
76892,12.325,18.027,12.737,0.003,6.827,-0.01
77387,12.325,18.027,12.737,0.003,6.827,-0.01
77886,12.325,18.027,12.737,0.003,6.827,0.006
78352,12.325,18.027,12.737,0.003,6.827,-0.01
78854,12.325,18.027,12.737,0.003,6.827,-0.01
79326,12.325,18.027,12.737,0.003,6.827,-0.01
79822,12.325,18.027,12.737,0.003,6.827,0.006
80332,12.325,18.027,12.737,0.003,6.827,-0.01
80860,12.325,18.027,12.754,0.003,6.827,-0.01
81345,12.325,18.027,12.754,0.003,6.827,-0.01
81846,12.325,18.027,12.754,0.003,6.827,-0.01
82327,12.325,18.027,12.754,0.003,6.827,0.006
82822,12.325,18.027,12.754,0.003,6.827,-0.01
83292,12.325,18.027,12.754,0.003,6.827,-0.01
83850,12.325,18.027,12.754,0.003,6.827,-0.01
84338,12.325,18.027,12.754,0.003,6.827,0.006
84829,12.325,18.027,12.754,0.003,6.827,-0.01
85400,12.325,18.027,12.754,0.003,6.827,-0.01
85934,12.325,18.027,12.754,0.003,6.827,0.006
86406,12.325,18.027,12.754,0.003,6.827,-0.01
86926,12.325,18.027,12.754,0.003,6.827,-0.01
87410,12.325,18.027,12.754,0.003,6.827,-0.01
87941,12.325,18.027,12.754,0.003,6.827,-0.01
88463,12.325,18.027,12.754,0.003,6.811,0.006
88936,12.325,18.027,12.754,0.003,6.827,-0.01
89453,12.325,18.027,12.754,0.003,6.811,-0.01
89920,12.325,18.027,12.754,0.003,6.811,0.006
90417,12.325,18.027,12.754,0.003,6.811,-0.01
90892,12.325,18.027,12.754,0.003,6.811,-0.01
91431,12.325,18.027,12.754,0.003,6.811,-0.01
91986,12.325,18.027,12.754,0.003,6.811,-0.01
92483,12.325,18.027,12.754,0.003,6.811,0.006
93003,12.325,18.027,12.754,0.003,6.827,0.006
93518,12.325,18.027,12.754,0.003,6.827,-0.01
