18A Test,,,,,BLACK-KOP-YH201812,BLACK-KOP-YH201812
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
506,0.003,-0.018,-0.005,0.003,12.135,18.028
1123,-0.147,-0.001,-0.138,0.003,12.085,18.028
1611,-0.147,-0.001,-0.138,0.003,12.052,18.028
2068,-0.147,-0.001,-0.138,0.003,12.019,18.028
2559,-0.147,-0.001,-0.138,0.003,12.002,18.028
3017,-0.147,-0.001,-0.138,0.003,12.002,18.028
3506,-0.147,-0.001,-0.138,0.003,11.986,18.028
3971,-0.147,-0.001,-0.138,0.003,11.969,18.028
4457,-0.147,-0.001,-0.138,0.003,11.969,18.028
4921,-0.147,-0.001,-0.138,0.003,11.969,18.028
5408,-0.147,-0.001,-0.138,0.003,11.953,18.028
5861,-0.147,-0.001,-0.138,0.003,11.953,18.028
6327,-0.147,-0.001,-0.138,0.003,11.953,18.028
6786,-0.147,-0.001,-0.138,0.003,11.936,18.028
7266,-0.147,-0.001,-0.138,0.003,11.936,18.028
7734,-0.147,-0.001,-0.138,0.003,11.936,18.028
8219,-0.147,-0.001,-0.138,0.003,11.919,18.028
8673,-0.147,-0.001,-0.138,0.003,11.919,18.028
9149,-0.147,-0.001,-0.138,0.003,11.919,18.028
9609,-0.147,-0.001,-0.138,0.003,11.919,18.028
10099,-0.147,-0.001,-0.138,0.003,11.903,18.028
10559,-0.147,-0.001,-0.138,0.003,11.903,18.028
11065,-0.147,-0.001,-0.138,0.003,11.903,18.028
11534,-0.147,-0.001,-0.138,0.003,11.886,18.028
12024,-0.147,-0.001,-0.138,0.003,11.886,18.028
12485,-0.147,-0.001,-0.138,0.003,11.886,18.028
12963,-0.147,-0.001,-0.138,0.003,11.886,18.028
13415,-0.147,-0.001,-0.138,0.003,11.87,18.028
13891,-0.147,-0.001,-0.138,0.003,11.87,18.028
14354,-0.147,-0.001,-0.138,0.003,11.87,18.028
14824,-0.147,-0.001,-0.138,0.003,11.87,18.028
15292,-0.147,-0.001,-0.138,0.003,11.853,18.028
15768,-0.147,-0.001,-0.138,0.003,11.853,18.028
16226,-0.147,-0.001,-0.138,0.003,11.853,18.028
16700,-0.147,-0.001,-0.138,0.003,11.853,18.028
17158,-0.147,-0.001,-0.138,0.003,11.853,18.028
17643,-0.147,-0.001,-0.138,0.003,11.837,18.028
18095,-0.147,-0.001,-0.138,0.003,11.837,18.028
18581,-0.147,-0.001,-0.138,0.003,11.837,18.028
19055,-0.147,-0.001,-0.138,0.003,11.837,18.028
19539,-0.147,-0.001,-0.138,0.003,11.837,18.028
20001,-0.147,-0.001,-0.138,0.003,11.837,18.028
20493,-0.147,-0.001,-0.138,0.003,11.82,18.028
20985,-0.147,-0.001,-0.138,0.003,11.82,18.028
21465,-0.147,-0.001,-0.138,0.003,11.82,18.028
21914,-0.147,-0.001,-0.138,0.003,11.82,18.028
22394,-0.147,-0.001,-0.138,0.003,11.82,18.028
22862,-0.147,-0.001,-0.138,0.003,11.82,18.028
23340,-0.147,-0.001,-0.138,0.003,11.82,18.028
23802,-0.147,-0.001,-0.138,0.003,11.82,18.028
24270,-0.147,-0.001,-0.138,0.003,11.803,18.028
24726,-0.147,-0.001,-0.138,0.003,11.803,18.028
25212,-0.147,-0.001,-0.138,0.003,11.803,18.028
25669,-0.147,-0.001,-0.138,0.003,11.803,18.028
26136,-0.147,-0.001,-0.138,0.003,11.803,18.028
26600,-0.147,-0.001,-0.138,0.003,11.803,18.028
27074,-0.147,-0.001,-0.138,0.003,11.803,18.028
27536,-0.147,-0.001,-0.138,0.003,11.803,18.028
28001,-0.147,-0.001,-0.138,0.003,11.803,18.028
28464,-0.147,-0.001,-0.138,0.003,11.803,18.028
28932,-0.147,-0.001,-0.138,0.003,11.803,18.028
29396,-0.147,-0.001,-0.138,0.003,11.803,18.028
29886,-0.147,-0.001,-0.138,0.003,11.803,18.028
30344,-0.147,-0.001,-0.138,0.003,11.803,18.028
30849,-0.147,-0.001,-0.138,0.003,11.787,18.028
31319,-0.147,-0.001,-0.138,0.003,11.787,18.028
31813,-0.147,-0.001,-0.138,0.003,11.787,18.028
32301,-0.147,-0.001,-0.138,0.003,11.787,18.028
32754,-0.147,-0.001,-0.138,0.003,11.787,18.028
33255,-0.147,-0.001,-0.138,0.003,11.787,18.028
33715,-0.147,-0.001,-0.138,0.003,11.787,18.028
34199,-0.147,-0.001,-0.138,0.003,11.787,18.028
34652,-0.147,-0.001,-0.138,0.003,11.787,18.028
35148,-0.147,-0.001,-0.138,0.003,11.787,18.028
35610,-0.147,-0.001,-0.138,0.003,11.787,18.028
36087,-0.147,-0.001,-0.138,0.003,11.787,18.028
36547,-0.147,-0.001,-0.138,0.003,11.787,18.028
37034,-0.147,-0.001,-0.138,0.003,11.787,18.028
37497,-0.147,-0.001,-0.138,0.003,11.787,18.028
37983,-0.147,-0.001,-0.138,0.003,11.787,18.028
38439,-0.147,-0.001,-0.138,0.003,11.787,18.028
38925,-0.147,-0.001,-0.138,0.003,11.787,18.028
39403,-0.147,-0.001,-0.138,0.003,11.787,18.028
39882,-0.147,-0.001,-0.138,0.003,11.787,18.028
40334,-0.147,-0.001,-0.138,0.003,11.787,18.028
40783,-0.147,-0.001,-0.138,0.003,11.787,18.028
41287,-0.147,-0.001,-0.138,0.003,11.787,18.028
41771,-0.147,-0.001,-0.138,0.003,11.787,18.028
42226,-0.147,-0.001,-0.138,0.003,11.787,18.028
42700,-0.147,-0.001,-0.138,0.003,11.787,18.028
43172,-0.147,-0.001,-0.138,0.003,11.787,18.028
43653,-0.147,-0.001,-0.138,0.003,11.787,18.028
44102,-0.147,-0.001,-0.138,0.003,11.787,18.028
44579,-0.147,-0.001,-0.138,0.003,11.787,18.028
45035,-0.147,-0.001,-0.138,0.003,11.787,18.028
45517,-0.147,-0.001,-0.138,0.003,11.787,18.028
45979,-0.147,-0.001,-0.138,0.003,11.787,18.028
46458,-0.147,-0.001,-0.138,0.003,11.787,18.028
46907,-0.147,-0.001,-0.138,0.003,11.787,18.028
47405,-0.147,-0.001,-0.138,0.003,11.787,18.028
47859,-0.147,-0.001,-0.138,0.003,11.787,18.028
48340,-0.147,-0.001,-0.138,0.003,11.787,18.028
48790,-0.147,-0.001,-0.138,0.003,11.787,18.028
